LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 124949, 0, 85.41244827889778, 100.0, 85.41176470588235,
1, 354527, 0, 97.48199713985113, 100.0, 97.48172217709181,
2, 151423, 0, 76.07827080430317, 78.125, 76.0777683854607,
3, 597759, 0, 77.08792339387612, 78.125, 77.08779443254818,
4, 1187583, 0, 77.6029970115773, 78.125, 77.6029316663074,
5, 208511, 0, 53.0389284018589, 56.25, 53.03867403314918,
6, 401151, 0, 3.063185683196602, 3.125, 3.063178047223995,
7, 133055, 0, 3.006275600315659, 3.0517578125, 3.0062530062530066,
